Default,KEYWORDS,CONTAIN_LIST,CONTAIN_CATEGORY,EXCEPT_LIST,EXCEPT_CATEGORY
1,After Shave,,,,
1,Balm,,,,
1,Battery,,,,
1,Cleaner,,,"Mop, Fiber, Fibre, Vacuum, Vaccum, Ear, Pressure, Tongue",
1,Cologne,,,,
0,Condition,,"""Beauty Products and Personal Care"", ""Baby Care"", ""Health and Wellness""",,
1,Deo,,,Video,"""Movies, Music and Video Games"", ""Electronics and Appliances"", ""Camera and photos"""
0,Face,,"""Beauty Products and Personal Care"", ""Health and Wellness""",,
0,Facial,,"""Beauty Products and Personal Care"", ""Health and Wellness""",Steamer,
1,Extinguisher,,,,
1,Fresh,,,"Container, Foil",
1,Gel,,,"Silicon, Cover, Bag, Angel, Bar, Softgels","""Sports and Outdoors"", ""Shoes and footwear"""
0,Health,,"""Beauty Products and Personal Care"", ""Health and Wellness""",,
1,Lotion,,,,
1,Mah,,,"Maha, Mahi","""Automotive"", ""Kitchenware"""
1,Ml,,,"Container, Bag, Jug, Casserole, Thermosteel, Milton, Tupperware, Storage, Dispenser, Amla, Watch, Shaker, Jar Set, Rimless, Asus, Flask","""Home and Kitchen"", ""KitchenWare"", ""Sports and Outdoors"""
1,Oil,,,"Boiler, Dispenser, Pastel, Tupperware, Container","""Home and Kitchen"", ""KitchenWare"", ""Office Products"""
1,Paint,,,,
1,Parfum,,,,
1,Perfum,,,,
1,Polish,,,Polished,"""Apparel & Accessories"""
1,Power Bank,,,,
1,Powerbank,,,,
1,Rechargeable,,,,
1,Rechargable,,,,
1,Serum,,,,
1,Shampoo,,,,
0,Shav,"Gel, Cream","""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",,
0,Shower,"Cream, Body, Gel","""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",,
0,Skin,,"""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",,
0,Spray,,"""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",,
1,Sunscreen,,,,
1,Temptation,,,,
1,Trimmer,,,,
1,Vlcc,,,,
0,Wash,,"""Beauty Products and Personal Care"", ""Baby Care""",,
0,Cream,,"""Beauty Products and Personal Care"", ""Baby Care"", ""Health and Wellness""",,
1,General Good,,,,
1,Lighter,,,,
1,Thinner,,,,
1,Tonic,,,,
1,Squash,,,,
1,Scrub,,,,
1,Organic Product,,,,
1,Puree,,,,
1,Sharbat,,,,
1,Bulb,,,,
1,CFL,,,,
1,Refill,,,,
