product_name,predicted_cat,predicted_sub_cat,error
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
NARROW FIT JEANS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
POLO T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
POLO T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
POLO T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
POLO T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
CORDUROY TROUSERS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
V NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
HENLEY T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
POLO T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
HIGH NECK T SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
V NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
TRACK SUITS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
V NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
ROUND NECK T-SHIRTS,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
