product_name,predicted_cat,predicted_sub_cat,Error
Glaze I-Wear Black Wayfarer Mat Finish,"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Inspire Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Mc-John Men's Solid Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Nation Polo Club Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Inspire Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Mc-John Men's Solid Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Little Man Boy's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Mc-John Men's Solid Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Smart Watch 8 Functions Toy For Kid s (Assorted Colours),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Sportswear Ankle Socks (Pack of 6 Pairs),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Rc White Cotton Leggings (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pique Republic Navy Blue Casual Tops (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Bodycare Multicolor Panties Pack Of 3 (Size-70 Cm),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Bodycare White Briefs Pack Of 3 (Size-60 Cm),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Vans Dark Blue Casual Shoes (Size-9),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Beebay Blue Denim  Shorts (Size-3-4 Years) | Beebay Orange Capri (Size-3-4 Years),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Bodycare Multicolor Panties Pack Of 3 (Size-60 Cm),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Ictley Beige Cotton Casual Shirts (Size-36),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Bodycare Multicolor Briefs Pack Of 3 (Size-55 Cm),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Chrristy Slim Fit Blue Jeans (5-6 Years),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Stylish Transparent Rain Coat With Branded 2 Fold Umbrella For Men,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Sportswear Ankle Socks (Pack of 6 Pairs),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Sportswear Ankle Socks (Pack of 6 Pairs),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
U.S. Polo Assn. Slippers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 02 09 07 10,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Combo Pack of 5 T shirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Skyways Combo Of Black And Brown Formal Belts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Blue Cotton Formal Shirts (Size-38),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Pack Of 4 Multi T-Shirts (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Navy Polyester Track Suits (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Skyways Combo Of Black And Brown Formal Belts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Skyways Combo Of Black And Brown Formal Belts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Clothing,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Blue Cotton T-Shirt (Size-38),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Black Polyester Track Suits (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Green Cotton T-Shirt (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Green Cotton T-Shirt (Size-38),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Blue Cotton T-Shirt (Size-42),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Joe Black Wayfarer Sunglasses,"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Skyways Combo Of Black And Brown Formal Belts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Navy Polyester Track Suits (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Skyways Combo Of Black And Brown Formal Belts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals Black Cotton TShirts (Size-42),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Randier Blue Cotton Slim Fit Jeans (Size-32),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Nike set of 3 ankle socks,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
French Connection Skinny Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Adidas Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Little Kangaroos Sleeveless Printed Quilted Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Proline Striped Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Flying Machine Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Levi's Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Chromozome Solid Men's Three Fourth,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Jockey Solid Men's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Puma Printed Women's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flippd Solid Men's V-neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Being Human Clothing Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Reebok Solid Women's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Indian Terrain Men's Striped Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
United Colors of Benetton Sneakers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
People Men's Printed Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
United Colors of Benetton Corporate Casuals,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Boat Shoes,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Solid Women's Tight,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Reebok Solid Men's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Fila Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Blackberrys Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
