"cat_name","dang"
"Toys and Games",1
"Apparel & Accessories",0
"Automotive",1
"Baby Care",1
"Beauty Products and Personal Care",1
"Books",1
"Camera and Photos",1
"Computers and Laptops",1
"Delhivery_Others",1
"Electronics and Appliances",0
"Gifts",1
"Grocery and Gourmet Food",1
"Handbags, Bags and Luggage",0
"Health and Wellness",1
"Home and Kitchen",0
"Industrial and Scientific Goods",1
"KitchenWare",0
"Mobile Phone, Tablets and Accesories",1
"Movies, Music and Video Games",1
"Musical Instruments",0
"Office Products",0
"Pet Supplies",0
"Shoes and Footwear",0
"Software and E-learning",1
"Sports and Outdoors",1
"Tools and Hardware",1
"Uncategorized",1
"Watches, Eyewear and Jewellery",1
