u'Amazon_Baby->Activity & Entertainment',Baby Care
u'Amazon_Baby->Baby Care',Baby Care
u'Amazon_Baby->Baby Carriers',Baby Care
u'Amazon_Baby->Car Seats & Accessories',Baby Care
u'Amazon_Baby->Diapering & Nappy Changing',Baby Care
u'Amazon_Baby->Nursery',Baby Care
u'Amazon_Baby->Nursing & Feeding',Baby Care
u'Amazon_Baby->Potty Training & Step Stools',Baby Care
u'Amazon_Baby->Safety Equipment',Baby Care
u'Amazon_Baby->Soothers & Teethers',Baby Care
u'Amazon_Baby->Strollers & Prams',Baby Care
u'Amazon_Beauty->Bath & Shower',Beauty Products and Personal Care->Bath
u'Amazon_Beauty->Fragrance',Beauty Products and Personal Care->Deodrants and Fragrances
u'Amazon_Beauty->Hair Care & Styling',Beauty Products and Personal Care->Hair Care
u'Amazon_Beauty->Make-up & Nails',Beauty Products and Personal Care->Everyday Makeup
u'Amazon_Beauty->Skin Care',Beauty Products and Personal Care->Skin Care
u'Amazon_Beauty->Tools & Accessories',Beauty Products and Personal Care
"u""Amazon_Books->Children's & Young Adult""",Books
u'Amazon_Car & Motorbike->Motorbike Accessories & Parts',Automotive->Bike Accessories
u'Amazon_Clothing & Accessories->Baby',Apparel & Accessories
u'Amazon_Clothing & Accessories->Boys',Apparel & Accessories->Men's Clothing
u'Amazon_Clothing & Accessories->Girls',Apparel & Accessories->Women's Clothing
u'Amazon_Clothing & Accessories->Men',Apparel & Accessories->Men's Clothing
u'Amazon_Clothing & Accessories->Women',Apparel & Accessories->Women's Clothing
u'Amazon_Computers & Accessories->Accessories',Computers and Laptops->Computer Accessories
u'Amazon_Computers & Accessories->Components',Computers and Laptops->Computer Components
u'Amazon_Computers & Accessories->Desktops',Computers and Laptops->Desktops
u'Amazon_Computers & Accessories->External Devices & Data Storage',Computers and Laptops->External Hard Drives
"u'Amazon_Computers & Accessories->Keyboards, Mice & Input Devices'",Computers and Laptops->Computer Components
u'Amazon_Computers & Accessories->Laptops',Computers and Laptops->Laptop
u'Amazon_Computers & Accessories->Monitors',Computers and Laptops->Monitor
u'Amazon_Computers & Accessories->Networking Devices',Computers and Laptops->Routers and Modems
u'Amazon_Computers & Accessories->PC Speakers',Computers and Laptops->Speakers
u'Amazon_Computers & Accessories->Printers',Computers and Laptops->Printers and Scanners
u'Amazon_Computers & Accessories->Scanners',Computers and Laptops->Printers and Scanners
u'Amazon_Computers & Accessories->Tablets',"Mobile Phone, Tablets and Accesories->Tablets"
u'Amazon_Computers & Accessories->Webcams & VoIP Equipment',Computers and Laptops->Computer Accessories
u'Amazon_Electronics->Accessories',Electronics and Appliances
u'Amazon_Electronics->Cameras & Photography',Camera and Photos
u'Amazon_Electronics->Car & Vehicle Electronics',Electronics and Appliances
u'Amazon_Electronics->Computers & Accessories',Computers and Laptops->Computer Accessories
u'Amazon_Electronics->GPS & Accessories',Electronics and Appliances
u'Amazon_Electronics->Hi-Fi & Home Audio',Electronics and Appliances->Audio and Video Accessories
"u'Amazon_Electronics->Home Theatre, TV & Video'",Electronics and Appliances->Audio and Video Accessories
u'Amazon_Electronics->Mobiles & Accessories',"Mobile Phone, Tablets and Accesories"
u'Amazon_Electronics->Portable Media Players',Electronics and Appliances->Portable Audio Players
u'Amazon_Electronics->Telephones & Accessories',Electronics and Appliances
u'Amazon_Gourmet & Specialty Foods->Baking Supplies',Grocery and Gourmet Food
u'Amazon_Gourmet & Specialty Foods->Canned & Jarred Food',Grocery and Gourmet Food
u'Amazon_Gourmet & Specialty Foods->Cereal & Muesli',Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Chocolate, Candies & Gum'",Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Coffee, Tea & Beverages'",Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Dried Fruits, Nuts & Seeds'",Grocery and Gourmet Food
u'Amazon_Gourmet & Specialty Foods->Hampers & Gourmet Gifts',Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Herbs, Spices & Seasonings'",Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Jams, Honey & Spreads'",Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Oils, Vinegars & Salad Dressings'",Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Olives, Pickles & Relishes'",Grocery and Gourmet Food
u'Amazon_Gourmet & Specialty Foods->Packaged Meals & Side Dishes',Grocery and Gourmet Food
u'Amazon_Gourmet & Specialty Foods->Pasta & Noodles',Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Rice, Flour & Pulses'",Grocery and Gourmet Food
"u'Amazon_Gourmet & Specialty Foods->Sauces, Gravies & Marinades'",Grocery and Gourmet Food
u'Amazon_Gourmet & Specialty Foods->Snack Foods',Grocery and Gourmet Food
u'Amazon_Health & Personal Care->Diet & Nutrition',Health and Wellness->Protein and Health Supplements
u'Amazon_Health & Personal Care->Health Care',Health and Wellness
u'Amazon_Health & Personal Care->Home Medical Supplies & Equipment',Health and Wellness
u'Amazon_Health & Personal Care->Personal Care',Health and Wellness
u'Amazon_Health & Personal Care->Personal Care & Health Appliances',Health and Wellness
u'Amazon_Home & Kitchen->Artwork',Home and Kitchen->Home Decor
u'Amazon_Home & Kitchen->Home Furnishing',Home and Kitchen->Home Furnishing
u'Amazon_Home & Kitchen->Home Improvement',Home and Kitchen->Home Furnishing
u'Amazon_Home & Kitchen->Home Storage & Organization',Home and Kitchen->Home Furnishing
u'Amazon_Home & Kitchen->Indoor Lighting',Home and Kitchen->Home Furnishing
u'Amazon_Home & Kitchen->Kitchen & Dining',Home and Kitchen->Home Furnishing
u'Amazon_Home & Kitchen->Kitchen & Home Appliances',Electronics and Appliances->Home Appliances
u'Amazon_Home & Kitchen->Large Appliances',Electronics and Appliances->Home Appliances
u'Amazon_Home & Kitchen->Lawn & Garden',Home and Kitchen->Home Furnishing
u'Amazon_Jewellery->Accessories',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Anklets',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Bangles & Bracelets',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Beads & Charms',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Body Jewellery',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Brooches & Pins',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Cufflinks & Shirt Accessories',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Earrings',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Hair Jewellery',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Jewellery Sets',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Loose Gemstones & Diamonds',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Necklaces',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Pendants',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Precious Coins',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Rings',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Jewellery->Warranties',"Watches, Eyewear and Jewellery->Jewellery"
u'Amazon_Luggage & Bags->Backpacks',"Handbags, Bags and Luggage"
u'Amazon_Luggage & Bags->Bags & Briefcases',"Handbags, Bags and Luggage"
u'Amazon_Luggage & Bags->Luggage',"Handbags, Bags and Luggage"
u'Amazon_Luggage & Bags->Travel Accessories',"Handbags, Bags and Luggage"
"u'Amazon_Luggage & Bags->Wallets, Belts & Bag Accessories'","Handbags, Bags and Luggage"
u'Amazon_Musical Instruments->Bass Guitars & Gear',Musical Instruments
u'Amazon_Musical Instruments->DJ & VJ Equipment',Musical Instruments
u'Amazon_Musical Instruments->Drums & Percussion',Musical Instruments
u'Amazon_Musical Instruments->General Music-Making Accessories',Musical Instruments
