"Flipkart_Bags, Wallets & Belts->Bags","Handbags, Bags and Luggage"
"Flipkart_Bags, Wallets & Belts->Cufflinks",Apparel & Accessories->Men's Clothing
Flipkart_Cameras & Accessories->Camera Accessories,Camera and Photos->Camera Accesories
Flipkart_Cameras & Accessories->Cameras,Camera and Photos->Digital Camera
Flipkart_Clothing->Kids' Clothing,Apparel & Accessories
Flipkart_Clothing->Men's Clothing,Apparel & Accessories->Men's Clothing
Flipkart_Clothing->Women's Clothing,Apparel & Accessories->Women's Clothing
Flipkart_Computers->Audio Players,Electronics and Appliances->Portable Audio Players
Flipkart_Computers->Computer Components,Computers and Laptops->Computer Components
Flipkart_Computers->Computer Peripherals,Computers and Laptops->Computer Accessories
Flipkart_Computers->Desktops,Computers and Laptops->Desktops
Flipkart_Computers->Laptop Accessories,Computers and Laptops->Computer Accessories
Flipkart_Computers->Laptops,Computers and Laptops->Laptop
Flipkart_Computers->Monitors,Computers and Laptops->Monitor
Flipkart_Computers->Network Components,Computers and Laptops->Routers and Modems
Flipkart_Computers->Printers & Inks,Computers and Laptops->Printers and Scanners
Flipkart_Computers->Software,Software and E-learning
Flipkart_Computers->Storage,Computers and Laptops->External Hard Drives
Flipkart_Computers->Video Players,Computers and Laptops
Flipkart_E-Learning->Educational Media,Software and E-learning
Flipkart_Gaming->Gaming Accessories,"Movies, Music and Video Games"
Flipkart_Gaming->Gaming Components,"Movies, Music and Video Games"
Flipkart_Home & Kitchen->Home Appliances,Electronics and Appliances->Home Appliances
Flipkart_Home & Kitchen->Kitchen Appliances,Electronics and Appliances->Home Appliances
Flipkart_Home Entertainment->Audio Players,Electronics and Appliances->Audio and Video Accessories
Flipkart_Home Entertainment->MP3 players/Ipods Accessories,Electronics and Appliances->Audio and Video Accessories
Flipkart_Home Entertainment->Televisions,Electronics and Appliances->TV
Flipkart_Home Entertainment->Video Players & Accessories,Electronics and Appliances->Audio and Video Accessories
Flipkart_Jewellery->Accessories,"Watches, Eyewear and Jewellery->Jewellery"
Flipkart_Mobiles & Accessories->Landline Phones,"Mobile Phone, Tablets and Accesories"
Flipkart_Mobiles & Accessories->Mobile Accessories,"Mobile Phone, Tablets and Accesories->Mobile Accessories"
Flipkart_Mobiles & Accessories->Mobiles,"Mobile Phone, Tablets and Accesories->Mobiles"
Flipkart_Mobiles & Accessories->Power Bank Pouches,"Mobile Phone, Tablets and Accesories->Powerbanks"
Flipkart_Mobiles & Accessories->Tablet Accessories,"Mobile Phone, Tablets and Accesories->Tablets"
Flipkart_Mobiles & Accessories->Tablets,"Mobile Phone, Tablets and Accesories->Tablets"
Flipkart_Pens & Stationery->Office Supplies,Office Products->Office Stationary
Flipkart_Sports & Fitness->Other Sports,NA
Flipkart_Toys & School Supplies->Learning & Educational Toys,Toys and Games
Flipkart_Wearable Smart Devices->Bluetooth Hats,"Mobile Phone, Tablets and Accesories"
Flipkart_Wearable Smart Devices->Smart Gloves,"Mobile Phone, Tablets and Accesories"
Flipkart_Wearable Smart Devices->Smart Watches,"Mobile Phone, Tablets and Accesories"
