u'Snapdeal_Appliances->Home Appliances',Electronics and Appliances->Home Appliances
u'Snapdeal_Appliances->Imported Appliances',Electronics and Appliances->Home Appliances
u'Snapdeal_Appliances->Kitchen Appliances',Electronics and Appliances->Home Appliances
u'Snapdeal_Appliances->Large Appliances',Electronics and Appliances->Home Appliances
u'Snapdeal_Appliances->Personal Care Appliances',Electronics and Appliances->Home Appliances
u'Snapdeal_Automotive->Parts & Spares',Automotive->Tyres and Spares
u'Snapdeal_Automotive->Car Accessories',Automotive->Car Accesories
u'Snapdeal_Cameras & Accessories->Binoculars & Telescopes',Camera and Photos-> Binoculars and Telescopes
u'Snapdeal_Cameras & Accessories->Camcorders',Camera and Photos->Camcoders
u'Snapdeal_Cameras & Accessories->Camera Accessories',Camera and Photos->Camera Accesories
u'Snapdeal_Cameras & Accessories->Camera Lenses',Camera and Photos->Camera Lens
u'Snapdeal_Cameras & Accessories->DSLR',Camera and Photos->DSLR
u'Snapdeal_Cameras & Accessories->Digital Cameras',Camera and Photos->Digital Camera
u'Snapdeal_Cameras & Accessories->Digital Photo Frames',Camera and Photos->Digital Photo Frames
u'Snapdeal_Cameras & Accessories->Memory Cards',Camera and Photos->Memory Cards
u'Snapdeal_Click and Collect->Books',
u'Snapdeal_Computers & Peripherals->Adapters',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Cartridges & Toners',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Computer Accessories',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Computer Components',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Cooling Pads/Laptop Tables',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Data Cards',Computers and Laptops->Pen Drives and Data Card
u'Snapdeal_Computers & Peripherals->Desktops',Computers and Laptops->Desktops
u'Snapdeal_Computers & Peripherals->External Hard Disks',Computers and Laptops->External Hard Drives
u'Snapdeal_Computers & Peripherals->Graphics Card',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Internal Hard Drives',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Keyboard',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Laptop Batteries',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Laptops',Computers and Laptops->Laptop
u'Snapdeal_Computers & Peripherals->Monitors',Computers and Laptops->Monitor
u'Snapdeal_Computers & Peripherals->Mouse',Computers and Laptops->Computer Components
